name,composite_score,composite_rank,h_index,citations_per_paper,venue_diversity,total_paper_count,institution
Emma Strubell,0.6611695648771704,273.0,21,77.98701298701299,0.7513126974272389,77,
Nizar Habash,0.6607414888635929,274.0,60,39.36825396825397,0.8267661863201355,315,
Lewis Tunstall,0.6603082828934832,275.0,8,120.0,0.881353453268883,10,
Justin Grimmer,0.6601479265500361,276.0,26,63.92307692307692,0.951098017617244,91,
Tianxiang Sun,0.6596392874525481,277.0,20,69.64444444444445,0.8387394659819745,45,
A. Le Glaz,0.6595,278.0,3,88.75,0.9999999999999998,4,
S. Bakken,0.6587188476021806,279.0,56,35.72701949860724,0.7132012519086149,359,
Chenliang Li,0.658384351376425,280.0,41,49.42567567567568,0.908442283299395,148,
Daniel Le'on Perin'an,0.6580000000000001,281.0,2,1114.5,1.0,2,
Shlok S Deshmukh,0.6580000000000001,281.0,2,1114.5,1.0,2,
Elior Sulem,0.6579892387044176,283.0,11,87.61111111111111,0.9483627932161026,18,
Xiang Ren,0.6575200659713449,284.0,38,47.31818181818182,0.7357769247077731,132,
Ruisi Su,0.6570851152862655,285.0,4,338.85714285714283,0.9697238998682473,7,
Emily M. Bender,0.6565407185109835,286.0,28,68.43846153846154,0.909321192470536,130,University of Washington
Michael R. Lucas,0.6557469773811277,287.0,4,409.0,1.0,4,Truveta
Shrimai Prabhumoye,0.6549515694354316,288.0,19,75.73076923076923,0.8394370688167885,52,
C. Bauckhage,0.6546238144095337,289.0,46,27.821727019498606,0.8911223707373537,359,
Xingjian Shi,0.6545625540772881,290.0,15,490.1818181818182,0.9004593109096882,22,
V. D. Pietra,0.6544220684057721,291.0,20,646.5185185185185,0.8307343690684712,27,
Fabio Barth,0.6538253738618586,292.0,4,205.0,0.8322488896002306,11,
Joel Grus,0.6529675451609925,293.0,6,152.72727272727272,0.946394630357186,11,
Anupam Datta,0.6526158396094012,294.0,38,46.29333333333334,0.9054854550624426,150,
Daniel Preotiuc-Pietro,0.6526096419711812,295.0,34,57.53333333333333,0.8767131934551353,75,
Julien Chaumond,0.6517491638592482,296.0,7,292.0882352941176,0.9122066329329884,34,
J. Kalita,0.6516468691984899,297.0,43,30.427244582043343,0.937200580760278,323,
Walter Daelemans,0.6515302410527029,298.0,64,26.91768826619965,0.898633789021455,571,University of Antwerp
Jiaao Chen,0.6504222916945995,299.0,18,73.18181818181819,0.875629146732344,33,Georgia Institute of Technology
Rafael A. Calvo,0.6503333333333333,300.0,2,103.33333333333331,0.9999999999999998,3,
Zhenzhu Yang,0.6501190603125077,301.0,3,155.25,0.946394630357186,4,
Kareem Darwish,0.649443403242894,302.0,41,48.12676056338028,0.9170528440803002,142,
Palash Goyal,0.6477174703892928,303.0,15,56.459016393442624,0.90386296915048,61,Amazon Alexa AI-NU
Trishala Neeraj,0.6477075597344912,304.0,8,370.1333333333333,0.8983289127685204,15,
V. Castro,0.647574489717618,305.0,38,47.46153846153846,0.9101340213184496,117,
Leon Derczynski,0.6469747739746152,306.0,32,40.03448275862069,0.8393662030414725,145,IT University of Copenhagen
Chi-Min Chan,0.646337043152578,307.0,8,87.94117647058823,0.7742367184132575,17,
Yiming Cui,0.6460690346700694,308.0,23,72.23728813559322,0.8431896502789532,59,iFLYTEK Research
Myungsun Kang,0.6459266437542414,309.0,3,449.8,0.946394630357186,5,
