name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
Iz Beltagy,29,218.0,0.7313395493551205,125.0,15164,50,0.8590161208330959,303.28,Allen Institute for Artificial Intelligence (AI2),93.0,93.0
Xiaodong Liu,26,255.0,0.7301678566555997,126.0,6182,47,0.8951070448088062,131.53191489361703,,129.0,129.0
Peter Ondruska,18,385.0,0.7286405807101544,127.0,3154,24,0.8988076095240874,131.41666666666666,,258.0,258.0
B. Pang,27,244.0,0.7275723301784884,128.0,25096,47,0.8824854469871325,533.9574468085107,,116.0,116.0
Ray Oshikawa,1,945.0,0.7260000000000001,129.0,294,2,1.0,147.0,,816.0,816.0
Angelina McMillan-Major,11,542.0,0.7253475402717745,130.0,7305,15,0.9549080284177106,487.0,,412.0,412.0
G. Clifford,66,43.0,0.7237498382028162,131.0,19394,357,0.8151174563202807,54.324929971988794,,-88.0,88.0
John W. Ricketts,2,903.0,0.7226822147101704,132.0,627,4,0.9999999999999998,156.75,,771.0,771.0
Yacine Jernite,27,244.0,0.7213315077824537,133.0,8580,50,0.8141423142050895,171.6,Hugging Face,111.0,111.0
Ligeng Zhu,19,364.0,0.7204129713599975,134.0,5186,37,0.822615636215473,140.16216216216216,,230.0,230.0
Albert Villanova del Moral,17,405.0,0.7199860892487938,135.0,3687,27,0.935944697445866,136.55555555555554,,270.0,270.0
J. Pustejovsky,64,44.0,0.7195289192019899,136.0,17969,376,0.8821485939004671,47.78989361702128,,-92.0,92.0
Wenpeng Yin,29,218.0,0.7187929307033968,137.0,5179,68,0.8741687194587366,76.16176470588235,,81.0,81.0
Hsinchun Chen,93,18.0,0.7187848878242611,138.0,40120,820,0.8383680728806798,48.926829268292686,,-120.0,120.0
Yi Zhu,18,385.0,0.7187283622441532,139.0,3319,39,0.9304448635617708,85.1025641025641,,246.0,246.0
Noémie Elhadad,46,98.0,0.7177578964775886,140.0,9550,142,0.8154872725637272,67.25352112676056,Columbia University,-42.0,42.0
Gunjan Chhablani,11,542.0,0.7170076073046509,141.0,4861,28,0.8686068971282328,173.60714285714286,,401.0,401.0
Simon Ott,9,599.0,0.7168223848695351,142.0,2460,12,0.9788379141596312,205.0,,457.0,457.0
Jenny Chim,9,599.0,0.7165544407779133,143.0,3226,13,0.957742056202218,248.15384615384616,,456.0,456.0
Tong He,23,291.0,0.7164598484873672,144.0,12753,36,0.8829451659595586,354.25,,147.0,147.0
Théo Gigant,2,903.0,0.716,145.0,2229,4,1.0,557.25,,758.0,758.0
Patrick von Platen,14,455.0,0.7158170234346188,146.0,5664,41,0.8081032498902061,138.14634146341464,,309.0,309.0
Zhongyue Zhang,11,542.0,0.7155923313998126,147.0,4893,20,0.9747327069425888,244.65,,395.0,395.0
Jinlan Fu,16,418.0,0.7150045738064598,148.0,5253,31,0.8770681848900138,169.4516129032258,,270.0,270.0
Shamik Bose,8,635.0,0.7140680439109421,149.0,2659,18,0.967132018086354,147.72222222222223,,486.0,486.0
Brendan T. O'Connor,18,385.0,0.7140610434288795,150.0,6937,44,0.8503753954131149,157.6590909090909,University of Massachusetts Amherst,235.0,235.0
Dan Otter,3,852.0,0.7134545454545456,151.0,1284,3,1.0,428.0,,701.0,701.0
Xuanjing Huang,64,44.0,0.7128215416696707,152.0,18735,385,0.7714564197832469,48.66233766233766,Fudan University,-108.0,108.0
Chunting Zhou,25,266.0,0.7123255746703783,153.0,4554,39,0.8685403567577346,116.76923076923076,Carnegie Mellon University,113.0,113.0
Kalina Bontcheva,54,72.0,0.712017134158177,154.0,12797,276,0.909714249266144,46.36594202898551,,-82.0,82.0
Mo Yu,42,119.0,0.7118141722786985,155.0,10161,95,0.8283694580688196,106.9578947368421,IBM Research,-36.0,36.0
Barbara J. Grosz,5,764.0,0.7115977185236079,156.0,5248,10,1.0,524.8,,608.0,608.0
Tom Young,10,570.0,0.7104374858497803,157.0,4389,14,0.9487695103589052,313.5,,413.0,413.0
