name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
Mariya Toneva,13,473.0,1580,37,Carnegie Mellon University
Mai Elsherief,13,473.0,1579,21,
Leon Weber,13,473.0,3342,22,Humboldt-Universität zu Berlin
Akira Murakami,13,473.0,710,22,
Michael Yeomans,13,473.0,1016,38,
Faical Azouaou,13,473.0,592,40,"ESI Ecole nationale superieure d'informatique, Algiers, Algeria"
Ossama Obeid,13,473.0,832,24,
Yutai Hou,13,473.0,1098,29,
Alex B. Fine,13,473.0,1343,25,
Tatiana Kelil,13,473.0,808,40,
Nelson F. Liu,13,473.0,4839,20,Stanford University
M. Carson,13,473.0,664,40,
K. Meichanetzidis,13,473.0,613,45,
Yannis Katsis,13,473.0,794,50,
R. Taylor,13,473.0,1615,29,
D. Milne,13,473.0,822,21,
Meng Yang,13,473.0,750,74,
Hiroaki Hayashi,13,473.0,5345,20,Carnegie Mellon University
Mark O Walderhaug,13,473.0,940,20,
Yufen Huang,12,509.0,458,16,
Victor Sanh,12,509.0,4065,19,
Sarah Wiegreffe,12,509.0,3439,24,
S. Yih,12,509.0,1562,25,
E. Artemova,12,509.0,646,52,
Ming Liu,12,509.0,469,23,
Kun Qian,12,509.0,761,53,
Wenhu Chen,12,509.0,732,22,
Amit Moryossef,12,509.0,682,29,
Qiang Wei,12,509.0,1201,31,
Dima Taji,12,509.0,1314,22,
Bo Long,12,509.0,675,29,
Ariel Goldstein,12,509.0,1139,32,
Yu Gu,12,509.0,1996,20,
Yi-Ting Guo,12,509.0,485,57,
Kiran Khatter,12,509.0,1209,37,
Haibin Lin,12,509.0,2625,18,
David Weiss,12,509.0,2154,13,
Vera Sorin,12,509.0,765,28,
Zita Marinho,12,509.0,698,23,
B. White,12,509.0,1702,67,
Paul R. Kingsbury,12,509.0,4572,23,
V. Cavalli-Sforza,12,509.0,608,54,
Irene Li,12,509.0,1408,34,
A. Kumar,12,509.0,1472,27,
Shannon L. Spruit,12,509.0,2015,31,
Alexandru Salcianu,12,509.0,1275,17,
S. Sangeetha,12,509.0,778,39,"National Institute of Technology, Tiruchirappalli"
Rémi Louf,12,509.0,2862,37,
Jia-Hong Huang,12,509.0,379,18,
Asahi Ushio,12,509.0,522,27,
Kexin Yang,12,509.0,651,23,Sichuan University
Carly D. Robinson,12,509.0,570,48,
John Bauer,11,542.0,9389,15,
Ergin Soysal,11,542.0,762,29,
Gunjan Chhablani,11,542.0,4861,28,
O. Kononova,11,542.0,2049,52,
A. Thakur,11,542.0,1180,26,
Zhile Yang,11,542.0,392,37,
Kianté Brantley,11,542.0,758,32,
R. Forshee,11,542.0,931,21,
Zhi Zhang,11,542.0,2224,13,
Daniel Loureiro,11,542.0,1069,25,Cardiff University
T. Arnold,11,542.0,1030,59,
Jingbo Xia,11,542.0,771,55,Huazhong Agricultural Univ
Martin Müller,11,542.0,787,14,
J. Plu,11,542.0,2833,71,
Yuexiong Ding,11,542.0,937,24,
Zhaoxuan Tan,11,542.0,589,27,University of Notre Dame
Alexis Toumi,11,542.0,491,27,
Angelina McMillan-Major,11,542.0,7305,15,
Elior Sulem,11,542.0,1577,18,
G. Felice,11,542.0,513,40,
Benedikt Boecking,11,542.0,648,19,
Zach Wood-Doughty,11,542.0,635,28,
Zhongyue Zhang,11,542.0,4893,20,
Jan A. Botha,11,542.0,1867,16,
Daniel J. Feller,11,542.0,798,23,
Meliha Yetisgen,11,542.0,619,44,
James Bradbury,11,542.0,49719,23,
Yunfan Shao,11,542.0,2816,24,Fudan University
Kun Wang,10,570.0,517,26,
